order_id,customer_id,order_date,status,total_amount,created_at
ORD-001,CUST-101,2024-01-15,completed,125.50,2024-01-15 10:30:00
ORD-002,CUST-102,2024-01-15,completed,89.99,2024-01-15 11:45:00
ORD-003,CUST-103,2024-01-16,completed,245.00,2024-01-16 09:15:00
ORD-004,CUST-101,2024-01-16,cancelled,55.75,2024-01-16 14:20:00
ORD-005,CUST-104,2024-01-17,completed,310.25,2024-01-17 08:00:00
ORD-006,CUST-105,2024-01-17,completed,178.40,2024-01-17 13:30:00
ORD-007,CUST-102,2024-01-18,completed,92.15,2024-01-18 10:00:00
ORD-008,CUST-106,2024-01-18,completed,415.80,2024-01-18 16:45:00
ORD-009,CUST-107,2024-01-19,completed,67.30,2024-01-19 11:15:00
ORD-010,CUST-103,2024-01-19,completed,289.60,2024-01-19 14:00:00
ORD-011,CUST-108,2024-01-20,completed,156.90,2024-01-20 09:30:00
ORD-012,CUST-104,2024-01-20,completed,502.10,2024-01-20 12:00:00
ORD-013,CUST-109,2024-01-21,completed,88.45,2024-01-21 10:45:00
ORD-014,CUST-110,2024-01-21,completed,197.75,2024-01-21 15:30:00
ORD-015,CUST-101,2024-01-22,completed,334.20,2024-01-22 11:00:00
